Date,Daily new cases,Freq Alpha,Freq Delta,Freq Gamma,Freq Other VOC/VOI,Freq Non-VOC/VOI,Percent check,Cases Alpha,Cases Delta,Cases Gamma,Cases Other VOC/VOI,Cases Non-VOC/VOI,Rt Alpha,Rt Delta,Rt Gamma,Rt Other VOC/VOI,Rt Non-VOC/VOI
2021/04/01,0,0.61,0,0,0.26,0.13,1,0,0,0,0,0,,,,,
2021/04/02,1484,0.61,0,0,0.26,0.13,1,905.24,0,0,385.84,192.92,,,,,
2021/04/03,0,0.61,0,0,0.26,0.13,1,0,0,0,0,0,,,,,
2021/04/04,0,0.61,0,0,0.26,0.13,1,0,0,0,0,0,,,,,
2021/04/05,2689,0.61,0,0,0.26,0.13,1,1640.29,0,0,699.14,349.57,,,,,
2021/04/06,1069,0.61,0,0.02,0.27,0.1,1,652.09,0,21.38,288.63,106.9,,,,,
2021/04/07,1033,0.61,0,0.02,0.27,0.1,1,630.13,0,20.66,278.91,103.3,,,,,
2021/04/08,1014,0.61,0,0.02,0.27,0.1,1,618.54,0,20.28,273.78,101.4,,,,,
2021/04/09,1803,0.61,0,0.02,0.27,0.1,1,1099.83,0,36.06,486.81,180.3,,,,,
2021/04/10,0,0.61,0,0.02,0.27,0.1,1,0,0,0,0,0,,,,,
2021/04/11,0,0.61,0,0.02,0.27,0.1,1,0,0,0,0,0,,,,,
2021/04/12,2975,0.61,0,0.02,0.27,0.1,1,1814.75,0,59.5,803.25,297.5,,,,,
2021/04/13,1162,0.61,0,0.02,0.27,0.1,1,708.82,0,23.24,313.74,116.2,,,,,
2021/04/14,1602,0.64,0,0.03,0.26,0.07,1,1025.28,0,48.06,416.52,112.14,,,,,
2021/04/15,701,0.64,0,0.03,0.26,0.07,1,448.64,0,21.03,182.26,49.07,,,,,
2021/04/16,1055,0.64,0,0.03,0.26,0.07,1,675.2,0,31.65,274.3,73.85,,,,,
2021/04/17,0,0.64,0,0.03,0.26,0.07,1,0,0,0,0,0,,,,,
2021/04/18,0,0.64,0,0.03,0.26,0.07,1,0,0,0,0,0,,,,,
2021/04/19,2317,0.64,0,0.03,0.26,0.07,1,1482.88,0,69.51,602.42,162.19,,,,,
2021/04/20,733,0.64,0,0.03,0.26,0.07,1,469.12,0,21.99,190.58,51.31,,,,,
2021/04/21,843,0.65,0,0.03,0.26,0.06,1,547.95,0,25.29,219.18,50.58,,,,,
2021/04/22,734,0.65,0,0.03,0.26,0.06,1,477.1,0,22.02,190.84,44.04,,,,,
2021/04/23,1031,0.65,0,0.03,0.26,0.06,1,670.15,0,30.93,268.06,61.86,,,,,
2021/04/24,0,0.65,0,0.03,0.26,0.06,1,0,0,0,0,0,,,,,
2021/04/25,0,0.65,0,0.03,0.26,0.06,1,0,0,0,0,0,,,,,
2021/04/26,2149,0.65,0,0.03,0.26,0.06,1,1396.85,0,64.47,558.74,128.94,,,,,
2021/04/27,417,0.65,0,0.03,0.26,0.06,1,271.05,0,12.51,108.42,25.02,,,,,
2021/04/28,619,0.62,0,0.04,0.3,0.04,1,383.78,0,24.76,185.7,24.76,,,,,
2021/04/29,482,0.62,0,0.04,0.3,0.04,1,298.84,0,19.28,144.6,19.28,,,,,
2021/04/30,785,0.62,0,0.04,0.3,0.04,1,486.7,0,31.4,235.5,31.4,,,,,
2021/05/01,0,0.62,0,0.04,0.3,0.04,1,0,0,0,0,0,,,,,
2021/05/02,0,0.62,0,0.04,0.3,0.04,1,0,0,0,0,0,,,,,
2021/05/03,1315,0.62,0,0.04,0.3,0.04,1,815.3,0,52.6,394.5,52.6,,,,,
2021/05/04,412,0.62,0,0.04,0.3,0.04,1,255.44,0,16.48,123.6,16.48,,,,,
2021/05/05,608,0.62,0,0.04,0.3,0.04,1,376.96,0,24.32,182.4,24.32,,,,,
2021/05/06,705,0.6,0.04,0.06,0.26,0.04,1,423,28.2,42.3,183.3,28.2,,,,,
2021/05/07,438,0.6,0.04,0.06,0.26,0.04,1,262.8,17.52,26.28,113.88,17.52,,,,,
2021/05/08,0,0.6,0.04,0.06,0.26,0.04,1,0,0,0,0,0,,,,,
2021/05/09,0,0.6,0.04,0.06,0.26,0.04,1,0,0,0,0,0,,,,,
2021/05/10,824,0.6,0.04,0.06,0.26,0.04,1,494.4,32.96,49.44,214.24,32.96,,,,,
2021/05/11,407,0.6,0.04,0.06,0.26,0.04,1,244.2,16.28,24.42,105.82,16.28,,,,,
2021/05/12,187,0.6,0.04,0.06,0.26,0.04,1,112.2,7.48,11.22,48.62,7.48,,,,,
2021/05/13,470,0.62,0.05,0.09,0.22,0.02,1,291.4,23.5,42.3,103.4,9.4,,,,,
2021/05/14,363,0.62,0.05,0.09,0.22,0.02,1,225.06,18.15,32.67,79.86,7.26,,,,,
2021/05/15,0,0.62,0.05,0.09,0.22,0.02,1,0,0,0,0,0,,,,,
2021/05/16,0,0.62,0.05,0.09,0.22,0.02,1,0,0,0,0,0,,,,,
2021/05/17,662,0.56,0.06,0.13,0.21,0.04,1,370.72,39.72,86.06,139.02,26.48,,,,,
2021/05/18,81,0.56,0.06,0.13,0.21,0.04,1,45.36,4.86,10.53,17.01,3.24,,,,,
2021/05/19,228,0.56,0.06,0.13,0.21,0.04,1,127.68,13.68,29.64,47.88,9.12,,,,,
2021/05/20,204,0.56,0.06,0.13,0.21,0.04,1,114.24,12.24,26.52,42.84,8.16,,,,,
2021/05/21,173,0.56,0.06,0.13,0.21,0.04,1,96.88,10.38,22.49,36.33,6.92,,,,,
2021/05/22,0,0.56,0.06,0.13,0.21,0.04,1,0,0,0,0,0,,,,,
2021/05/23,0,0.56,0.06,0.13,0.21,0.04,1,0,0,0,0,0,,,,,
2021/05/24,384,0.53,0.05,0.13,0.22,0.07,1,203.52,19.2,49.92,84.48,26.88,,,,,
2021/05/25,180,0.53,0.05,0.13,0.22,0.07,1,95.4,9,23.4,39.6,12.6,,,,,
2021/05/26,89,0.53,0.05,0.13,0.22,0.07,1,47.17,4.45,11.57,19.58,6.23,,,,,
2021/05/27,158,0.53,0.05,0.13,0.22,0.07,1,83.74,7.9,20.54,34.76,11.06,,,,,
2021/05/28,202,0.53,0.05,0.13,0.22,0.07,1,107.06,10.1,26.26,44.44,14.14,,,,,
2021/05/29,0,0.53,0.05,0.13,0.22,0.07,1,0,0,0,0,0,,,,,
2021/05/30,0,0.53,0.05,0.13,0.22,0.07,1,0,0,0,0,0,,,,,
2021/05/31,0,0.53,0.03,0.11,0.21,0.12,1,0,0,0,0,0,,,,,
2021/06/01,224,0.53,0.03,0.11,0.21,0.12,1,118.72,6.72,24.64,47.04,26.88,,,,,
2021/06/02,115,0.53,0.03,0.11,0.21,0.12,1,60.95,3.45,12.65,24.15,13.8,,,,,
2021/06/03,69,0.53,0.03,0.11,0.21,0.12,1,36.57,2.07,7.59,14.49,8.28,,,,,
2021/06/04,144,0.53,0.03,0.11,0.21,0.12,1,76.32,4.32,15.84,30.24,17.28,,,,,
